arr_port,pax
LHR,83044.0
MCO,66416.0
LAX,65760.0
LAS,65001.0
JFK,61825.0
CDG,60224.0
BKK,55489.0
MIA,54318.0
SFO,54155.0
DXB,51847.0
ORD,49630.0
FCO,41994.0
IST,40933.0
DFW,39680.0
CUN,39332.0
MAD,38560.0
BCN,38393.0
LGA,37811.0
ATL,37199.0
EWR,34479.0
BOS,33386.0
DEL,33082.0
SYD,31233.0
BOM,31181.0
MUC,30877.0
DEN,30509.0
MNL,30220.0
FRA,29796.0
HKG,29793.0
ORY,29637.0
SEA,29454.0
FLL,29061.0
TXL,28535.0
AMS,28410.0
PHX,27903.0
DCA,27088.0
IAH,26177.0
MEX,26116.0
JED,25243.0
PVG,24824.0
YYZ,24330.0
VIE,23814.0
LIS,23326.0
SIN,23250.0
CAI,22888.0
HNL,22549.0
ATH,22363.0
MEL,22231.0
PEK,22190.0
SAN,22134.0
JNB,22091.0
BOG,21478.0
PHL,20680.0
ARN,20352.0
TPA,20128.0
SVO,19841.0
BRU,19505.0
ZRH,18860.0
LIM,18743.0
MSP,18660.0
TLV,18653.0
CPH,18281.0
BNE,18125.0
RUH,18050.0
IAD,17871.0
ICN,17378.0
DUS,17060.0
KUL,16904.0
DTW,16547.0
OSL,15911.0
MXP,15805.0
CLT,15745.0
NRT,15427.0
YVR,14906.0
LED,14795.0
MSY,14781.0
CPT,14723.0
HAM,14612.0
PUJ,13939.0
AKL,13905.0
MAA,13898.0
NCE,13859.0
GVA,13647.0
TPE,13444.0
YUL,13153.0
PRG,13101.0
LIN,13084.0
PMI,13009.0
HKT,13002.0
TUN,12918.0
GRU,12861.0
SJU,12857.0
DME,12648.0
BWI,12645.0
SLC,12640.0
BLR,12591.0
PER,12371.0
DUB,12119.0
DPS,11959.0
SGN,11893.0
STL,11886.0
PDX,11698.0
DAC,11603.0
RSW,11554.0
AMM,11462.0
VCE,11237.0
HEL,11115.0
DOH,11053.0
MRU,11047.0
CMN,10970.0
CAN,10930.0
SCL,10897.0
RDU,10813.0
AUS,10753.0
AGP,10712.0
HYD,10603.0
CMB,10519.0
EZE,10511.0
WAW,10511.0
BEY,10203.0
SAT,10059.0
CGK,10004.0
ALG,9876.0
MBJ,9788.0
BUD,9775.0
COK,9764.0
PIT,9727.0
GIG,9693.0
SNA,9693.0
MCI,9278.0
YYC,9195.0
MRS,8994.0
MAN,8870.0
OGG,8480.0
BNA,8405.0
PBI,8359.0
CCU,8355.0
NBO,8122.0
UIO,8005.0
LYS,7997.0
AUH,7922.0
KBP,7874.0
LGW,7861.0
SJC,7769.0
IND,7711.0
ISB,7642.0
TLS,7595.0
GDL,7566.0
AEP,7407.0
OTP,7380.0
PTY,7363.0
CCS,7259.0
SDQ,7247.0
USM,7225.0
JAX,7178.0
ADL,7078.0
SJO,7078.0
CMH,7015.0
CLE,6950.0
STR,6907.0
KWI,6840.0
LCY,6797.0
CTA,6767.0
MKE,6753.0
LHE,6703.0
SJD,6653.0
MLA,6644.0
DMM,6598.0
HAV,6453.0
DUR,6430.0
GYE,6359.0
KOA,6235.0
NAS,6217.0
TRV,6199.0
MDE,6097.0
KTM,6033.0
CTG,6016.0
OPO,5980.0
MCT,5959.0
CVG,5946.0
BLQ,5869.0
PVR,5852.0
MEM,5825.0
BDL,5780.0
BGO,5723.0
SMF,5675.0
CCJ,5643.0
AUA,5629.0
CLO,5574.0
TFN,5498.0
ADD,5490.0
LPA,5381.0
KEF,5377.0
BAH,5349.0
FLR,5269.0
BEG,5176.0
CHC,5028.0
SAL,5009.0
MLE,4999.0
CGN,4940.0
EDI,4868.0
VLC,4847.0
AYT,4835.0
AMD,4809.0
SKG,4779.0
GOT,4714.0
HAN,4654.0
LIH,4613.0
SOF,4605.0
RAK,4600.0
ANC,4592.0
SVG,4585.0
KHI,4571.0
HAJ,4511.0
BUF,4459.0
YEG,4440.0
KIX,4412.0
BIO,4384.0
LOS,4371.0
OKC,4370.0
BOD,4302.0
MTY,4291.0
PTP,4254.0
DKR,4222.0
LCA,4221.0
ALA,4217.0
CBR,4205.0
SDF,4187.0
CUR,4164.0
ORF,4160.0
NAP,4144.0
GUA,4128.0
BHX,4091.0
CNX,4071.0
RIX,4041.0
RIC,4040.0
VKO,4024.0
ABQ,4016.0
PSP,3881.0
CHS,3873.0
OMA,3843.0
SAV,3806.0
TUS,3798.0
KRK,3760.0
WLG,3708.0
RGN,3703.0
CUZ,3642.0
PMO,3604.0
YOW,3600.0
ACC,3583.0
GEG,3528.0
AER,3486.0
GOI,3446.0
HOU,3441.0
NAN,3431.0
ABZ,3426.0
HER,3396.0
FDF,3395.0
RNO,3388.0
STT,3378.0
ZAG,3364.0
LKO,3352.0
MDW,3340.0
LAD,3336.0
GLA,3333.0
PVD,3266.0
DAR,3257.0
ESB,3191.0
CNS,3178.0
BAQ,3174.0
OAK,3155.0
POS,3153.0
CGH,3138.0
PLZ,3110.0
GSO,3094.0
IBZ,3080.0
MED,3056.0
DAY,3052.0
HND,3050.0
PNS,3043.0
FNC,3037.0
MGA,3032.0
BOI,3013.0
TBS,2993.0
KRT,2973.0
LIT,2952.0
RUN,2925.0
LUX,2918.0
ELP,2918.0
GRR,2875.0
DSM,2874.0
IKA,2870.0
TSE,2861.0
ROC,2849.0
ONT,2831.0
HBE,2824.0
ADB,2822.0
SYR,2818.0
NUE,2805.0
TRD,2805.0
ADZ,2802.0
MYR,2802.0
BGI,2792.0
CEB,2782.0
ROV,2765.0
KRR,2759.0
ORN,2743.0
BHM,2739.0
TIP,2690.0
KIN,2642.0
TUL,2614.0
ALC,2611.0
MBA,2593.0
TRN,2588.0
GYD,2588.0
YHZ,2587.0
BMA,2574.0
SUF,2573.0
KBV,2571.0
SXM,2557.0
COS,2554.0
SVQ,2553.0
PPT,2529.0
YWG,2525.0
SDU,2514.0
FAO,2504.0
SEZ,2486.0
CTS,2484.0
BRI,2480.0
ABJ,2420.0
MSQ,2415.0
GSP,2411.0
EBB,2408.0
NTE,2386.0
GUM,2371.0
PAP,2367.0
TLL,2366.0
TIA,2334.0
MSN,2328.0
MDT,2321.0
ATQ,2306.0
CAE,2297.0
GDN,2259.0
MVD,2252.0
PNQ,2249.0
EVN,2245.0
SAW,2244.0
XNA,2237.0
TFS,2231.0
SVX,2228.0
USH,2217.0
UVF,2209.0
MFM,2197.0
ALB,2192.0
ANU,2185.0
SRQ,2170.0
OOL,2167.0
KIV,2165.0
CNF,2162.0
IGR,2152.0
TAO,2149.0
SSH,2149.0
BUR,2136.0
TYS,2111.0
HBA,2111.0
PWM,2069.0
SIP,2063.0
PMV,2062.0
KTA,2060.0
CAG,2055.0
SMR,2037.0
SXB,2033.0
JAI,2028.0
PLS,2027.0
NCL,2013.0
ICT,2013.0
IGU,2004.0
SJJ,1995.0
PNH,1989.0
BJX,1984.0
LGB,1979.0
POA,1973.0
BSB,1967.0
BLL,1954.0
GCM,1950.0
SSA,1950.0
BGA,1943.0
GEO,1939.0
LIR,1923.0
BSL,1904.0
RHO,1896.0
VVI,1886.0
PUS,1886.0
IXE,1878.0
ODS,1862.0
HRE,1849.0
COR,1840.0
NGO,1839.0
ABV,1831.0
BRE,1817.0
VRN,1812.0
HSV,1793.0
CCP,1781.0
VNO,1781.0
FAI,1770.0
MDZ,1756.0
JTR,1746.0
EYW,1732.0
XMN,1727.0
MHT,1718.0
AHB,1712.0
GOA,1703.0
PEI,1696.0
MRV,1689.0
FUE,1681.0
DJE,1681.0
PDL,1676.0
CZL,1663.0
KUF,1647.0
TOS,1629.0
DBV,1628.0
CZM,1623.0
CTU,1621.0
ZQN,1607.0
HGH,1595.0
PEW,1594.0
AAQ,1594.0
PEN,1591.0
MPM,1580.0
AQP,1580.0
SHA,1546.0
ANF,1543.0
ASU,1540.0
OVB,1535.0
ACE,1524.0
CAK,1517.0
XPG,1511.0
SPU,1510.0
LUN,1509.0
KBL,1509.0
HPN,1499.0
CJC,1498.0
BRC,1494.0
TAS,1494.0
GMP,1492.0
MMX,1487.0
BTR,1483.0
DRW,1474.0
VPS,1467.0
BZN,1461.0
YQB,1459.0
KHH,1452.0
BDA,1450.0
BZE,1441.0
VVO,1436.0
GPT,1432.0
DAB,1429.0
AGA,1427.0
JAN,1422.0
TGU,1414.0
BTV,1410.0
SZX,1409.0
LJU,1406.0
AJA,1402.0
ZNE,1393.0
FAT,1389.0
BOO,1387.0
WDH,1377.0
IDR,1375.0
PBM,1372.0
IXC,1372.0
TNR,1371.0
FOC,1369.0
WRO,1363.0
FAY,1362.0
STI,1362.0
PRN,1355.0
SAP,1353.0
TLH,1351.0
PAT,1347.0
VNS,1343.0
DRS,1337.0
TGD,1336.0
SKP,1328.0
BLA,1324.0
GAU,1321.0
POM,1314.0
BHD,1311.0
YQR,1299.0
SZG,1299.0
DAL,1297.0
LPB,1293.0
TUU,1290.0
BEN,1288.0
RPR,1286.0
OUD,1285.0
TSV,1283.0
NOU,1279.0
YLW,1277.0
BDS,1276.0
ELS,1271.0
PZO,1271.0
JAC,1270.0
SLA,1264.0
VGO,1258.0
IEV,1257.0
PMC,1253.0
JRO,1250.0
FSD,1249.0
REP,1239.0
OLB,1232.0
YTZ,1230.0
BUQ,1218.0
ZYL,1217.0
BKI,1208.0
YYJ,1204.0
SNN,1197.0
SBA,1193.0
CGP,1192.0
VAR,1188.0
TAB,1177.0
YYT,1172.0
ILM,1167.0
SGF,1154.0
DLC,1147.0
BGW,1141.0
NKG,1138.0
BES,1135.0
HRG,1134.0
VTZ,1129.0
FPO,1122.0
KHV,1121.0
PIU,1120.0
PSC,1120.0
DUD,1112.0
MAR,1109.0
MPL,1109.0
SHE,1106.0
BIQ,1094.0
CKY,1094.0
LCG,1092.0
FRU,1074.0
DLA,1073.0
LIL,1072.0
BIL,1063.0
TRU,1061.0
AMA,1061.0
CUC,1060.0
BKO,1053.0
FTE,1047.0
PHE,1045.0
UDR,1039.0
TIJ,1038.0
KJA,1038.0
BJV,1014.0
DOK,1003.0
CUU,1000.0
KMG,996.0
VER,995.0
CHQ,993.0
MTR,993.0
BZV,991.0
IXB,989.0
LEJ,985.0
LEX,982.0
SAH,981.0
KGL,979.0
CPO,969.0
ROA,966.0
CJB,963.0
HMO,962.0
VSA,958.0
RAP,957.0
COO,956.0
CWB,955.0
PHF,951.0
RAJ,948.0
GIZ,948.0
FLN,945.0
JER,945.0
REC,944.0
MOB,942.0
ASE,940.0
ZYR,938.0
ITO,937.0
CHA,935.0
ULN,935.0
IQT,933.0
OVD,933.0
ECP,932.0
VTE,931.0
GRX,928.0
ZNZ,927.0
FIH,923.0
CUE,919.0
MAH,918.0
MFE,916.0
RBA,915.0
EAM,911.0
ADA,911.0
MYY,908.0
YMM,907.0
PUF,906.0
IQQ,901.0
LBV,898.0
NAT,889.0
LWO,885.0
NAG,884.0
EBL,882.0
GLT,881.0
POZ,878.0
KRS,878.0
BRS,877.0
CEK,873.0
MID,871.0
MJT,870.0
KGD,870.0
LLW,870.0
TIV,867.0
BIA,858.0
BJM,857.0
UFA,857.0
HLA,856.0
YXE,856.0
REG,856.0
PSA,855.0
JMK,848.0
FSC,847.0
MIR,844.0
OUA,844.0
EUG,843.0
NSI,838.0
SUB,834.0
MAO,834.0
PUQ,833.0
AVL,832.0
TRZ,832.0
ABE,831.0
LFT,828.0
TSR,828.0
CRW,827.0
CKG,826.0
SFA,824.0
ITM,823.0
SDK,822.0
MZT,821.0
CHO,816.0
CGO,813.0
MLB,812.0
ZIH,810.0
SPC,809.0
CRP,809.0
MLI,807.0
FOR,806.0
FUK,804.0
CID,802.0
IXM,798.0
VIX,798.0
SHV,794.0
RAI,790.0
SLL,790.0
MSU,789.0
GRB,789.0
BBI,788.0
SID,787.0
KKC,785.0
HAU,785.0
MMK,784.0
PBO,781.0
VAA,780.0
GRK,779.0
DED,776.0
SLP,775.0
